Date,Price,Volume
2020-01-13,28.401,1
2020-01-18,18.085,2
2020-01-19,18.417,1
2020-02-05,18.759,1
2020-02-22,20.074,2
2020-03-20,25.965,1
2020-03-28,18.182,1
2020-04-01,27.668,1
2020-04-12,19.172,1
2020-04-14,18.962,1
2020-04-18,27.814,1
2020-04-23,20.628,9
2020-04-25,21.071,3
2020-04-26,23.118,7
2020-04-29,12.754,1
2020-04-30,6.844,1
2020-05-02,11.756,1
2020-05-04,13.526,1
2020-05-08,17.317,2
2020-05-17,18.669,2
2020-05-18,19.854,3
2020-05-24,21.981,2
2020-05-28,19.352,1
2020-05-29,24.165,3
2020-06-03,28.549,1
2020-06-04,22.445,1
2020-06-09,27.209,4
2020-06-10,34.46,1
2020-06-18,33.503,1
2020-06-19,32.771,1
2020-06-23,29.028,1
2020-06-26,27.902,1
2020-06-28,25.752,2
2020-07-05,27.716,2
2020-07-10,35.637,1
2020-07-12,30.871,2
2020-07-16,31.863,1
2020-07-24,38.041,1
2020-07-26,42.049,1
2020-07-30,45.813,1
2020-08-01,34.658,2
2020-08-26,39.308,1
2020-08-28,37.137,1
2020-08-31,39.688,3
2020-09-09,49.834,1
2020-10-11,43.635,1
2020-10-25,43.729,1
2020-11-04,42.558,1
2020-11-19,43.371,2
2020-11-21,35.1,1
2020-12-10,31.992,1
2020-12-13,31.226,1
2020-12-17,42.027,1
2020-12-18,44.679,1
2020-12-21,47.645,1
2020-12-31,55.444,1
2021-01-02,32.809,2
2021-03-08,45.259,1
2021-03-12,63.057,1
2021-03-20,62.531,2
2021-04-07,49.725,1
2021-04-20,46.731,2
2021-05-16,22.236,1
2021-05-22,56.716,1
