Date,Price,Volume
2018-06-10,1.682,85
2018-06-11,1.663,55
2018-06-12,1.648,38
2018-06-13,1.634,59
2018-06-14,1.599,38
2018-06-15,1.649,54
2018-06-16,1.608,72
2018-06-17,1.643,51
2018-06-18,1.658,76
2018-06-19,1.676,60
2018-06-20,1.691,55
2018-06-21,1.645,62
2018-06-22,1.512,66
2018-06-23,1.431,75
2018-06-24,1.506,61
2018-06-25,1.482,39
2018-06-26,1.487,57
2018-06-27,1.587,69
2018-06-28,1.49,61
2018-06-29,1.516,31
2018-06-30,1.636,57
2018-07-01,1.64,57
2018-07-02,1.634,42
2018-07-03,1.55,74
2018-07-04,1.684,53
2018-07-05,1.653,42
2018-07-06,1.761,58
2018-07-07,1.811,50
2018-07-08,1.799,62
2018-07-09,1.795,88
2018-07-10,1.817,80
2018-07-11,1.779,86
2018-07-12,1.782,69
2018-07-13,1.814,61
2018-07-14,1.835,73
2018-07-15,1.833,97
2018-07-16,1.874,68
2018-07-17,1.876,145
2018-07-18,1.884,78
2018-07-19,1.883,51
2018-07-20,1.86,71
2018-07-21,1.877,77
2018-07-22,1.917,66
2018-07-23,1.879,73
2018-07-24,1.937,96
2018-07-25,1.891,76
2018-07-26,1.974,71
2018-07-27,2.108,60
2018-07-28,2.114,33
2018-07-29,2.163,40
2018-07-30,2.156,55
2018-07-31,2.144,54
2018-08-01,2.017,77
2018-08-02,1.88,72
2018-08-03,1.99,91
2018-08-04,2.068,80
2018-08-05,2.109,72
2018-08-06,2.131,83
2018-08-07,2.122,59
2018-08-08,2.177,57
2018-08-09,2.174,65
2018-08-10,2.121,78
2018-08-11,2.083,66
2018-08-12,2.13,45
2018-08-13,2.08,61
2018-08-14,2.082,52
2018-08-15,2.067,65
2018-08-16,2.091,85
2018-08-17,2.123,73
2018-08-18,2.111,61
2018-08-19,2.021,50
2018-08-20,2.106,56
2018-08-21,2.053,60
2018-08-22,2.048,58
2018-08-23,2.092,47
2018-08-24,2.133,67
2018-08-25,2.095,138
2018-08-26,2.093,63
2018-08-27,2.12,89
2018-08-28,2.112,84
2018-08-29,2.114,60
2018-08-30,2.042,99
2018-08-31,1.975,96
2018-09-01,2.043,87
2018-09-02,1.969,62
2018-09-03,1.991,94
2018-09-04,2.01,60
2018-09-05,2.005,67
2018-09-06,2.036,57
2018-09-07,2.046,74
2018-09-08,2.013,92
2018-09-09,2.021,72
2018-09-10,2.014,66
2018-09-11,2.038,77
2018-09-12,2.038,83
2018-09-13,2.072,80
2018-09-14,2.082,98
2018-09-15,2.107,122
2018-09-16,2.139,101
2018-09-17,2.125,85
2018-09-18,2.132,85
2018-09-19,2.137,70
2018-09-20,2.121,87
2018-09-21,2.14,89
2018-09-22,2.098,97
2018-09-23,1.951,53
2018-09-24,1.848,34
2018-09-25,1.875,19
2018-09-26,1.942,38
2018-09-27,1.94,27
2018-09-28,1.933,27
2018-09-29,2.016,67
2018-09-30,2.04,31
2018-10-01,2.069,31
2018-10-02,2.071,30
2018-10-03,2.047,25
2018-10-04,1.963,23
2018-10-05,2.014,38
2018-10-06,2.051,39
2018-10-07,1.992,27
2018-10-08,2.009,26
2018-10-09,1.855,26
2018-10-10,1.892,33
2018-10-11,1.967,29
2018-10-12,1.992,40
2018-10-13,1.924,32
2018-10-14,1.945,24
2018-10-15,1.886,26
2018-10-16,1.916,29
2018-10-17,1.962,50
2018-10-18,1.913,32
2018-10-19,1.898,25
2018-10-20,1.889,57
2018-10-21,1.905,40
2018-10-22,1.907,52
2018-10-23,1.889,46
2018-10-24,1.899,54
2018-10-25,1.9,27
2018-10-26,1.935,41
2018-10-27,1.934,47
2018-10-28,1.911,51
2018-10-29,1.837,32
2018-10-30,1.92,26
2018-10-31,1.89,39
2018-11-01,1.893,83
2018-11-02,1.884,32
2018-11-03,1.838,43
2018-11-04,1.798,41
2018-11-05,1.884,29
2018-11-06,1.847,55
2018-11-07,1.824,43
2018-11-08,1.846,28
2018-11-09,1.842,43
2018-11-10,1.845,31
2018-11-11,1.777,54
2018-11-12,1.813,37
2018-11-13,1.813,42
2018-11-14,1.789,36
2018-11-15,1.851,86
2018-11-16,1.832,33
2018-11-17,1.748,27
2018-11-18,1.804,32
2018-11-19,1.824,37
2018-11-20,1.882,34
2018-11-21,1.826,33
2018-11-22,1.825,46
2018-11-23,1.849,33
2018-11-24,1.743,40
2018-11-25,1.791,56
2018-11-26,1.816,27
2018-11-27,1.678,30
2018-11-28,1.753,29
2018-11-29,1.754,24
2018-11-30,1.787,39
2018-12-01,1.878,57
2018-12-02,1.868,16
2018-12-03,1.851,42
2018-12-04,1.799,31
2018-12-05,1.856,39
2018-12-06,1.754,35
2018-12-07,1.75,40
2018-12-08,1.881,48
2018-12-09,1.884,39
2018-12-10,1.897,26
2018-12-11,1.907,29
2018-12-12,1.836,41
2018-12-13,1.894,42
2018-12-14,1.939,22
2018-12-15,1.922,44
2018-12-16,1.909,42
2018-12-17,1.865,32
2018-12-18,1.896,34
2018-12-19,1.911,29
2018-12-20,1.926,34
2018-12-21,1.95,51
2018-12-22,1.963,43
2018-12-23,1.94,47
2018-12-24,1.958,37
2018-12-25,2.013,31
2018-12-26,1.976,30
2018-12-27,1.902,50
2018-12-28,1.942,39
2018-12-29,2.023,37
2018-12-30,1.945,35
2018-12-31,1.922,36
2019-01-01,1.9,38
2019-01-02,1.949,46
2019-01-03,1.905,41
2019-01-04,1.975,46
2019-01-05,1.845,91
2019-01-06,1.917,29
2019-01-07,2.083,56
2019-01-08,2.075,36
2019-01-09,2.088,48
2019-01-10,2.064,62
2019-01-11,2.069,33
2019-01-12,2.105,56
2019-01-13,2.04,48
2019-01-14,2.092,28
2019-01-15,2.11,62
2019-01-16,2.153,48
2019-01-17,2.121,29
2019-01-18,2.109,36
2019-01-19,2.162,24
2019-01-20,2.164,38
2019-01-21,2.157,20
2019-01-22,2.188,35
2019-01-23,2.145,25
2019-01-24,2.199,25
2019-01-25,2.216,25
2019-01-26,2.164,42
2019-01-27,2.102,36
2019-01-28,2.106,37
2019-01-29,2.149,34
2019-01-30,2.12,27
2019-01-31,2.046,30
2019-02-01,2.153,34
2019-02-02,2.086,48
2019-02-03,2.131,54
2019-02-04,2.155,27
2019-02-05,2.123,39
2019-02-06,2.131,41
2019-02-07,2.082,61
2019-02-08,2.101,50
2019-02-09,2.067,64
2019-02-10,2.03,47
2019-02-11,1.962,45
2019-02-12,1.995,75
2019-02-13,2.103,28
2019-02-14,2.132,34
2019-02-15,2.153,26
2019-02-16,2.136,38
2019-02-17,2.161,25
2019-02-18,2.162,39
2019-02-19,2.106,38
2019-02-20,2.12,49
2019-02-21,2.134,53
2019-02-22,2.198,35
2019-02-23,2.228,60
2019-02-24,2.876,74
2019-02-25,2.712,35
2019-02-26,2.623,19
2019-02-27,2.648,37
2019-02-28,2.548,32
2019-03-01,2.631,22
2019-03-02,2.36,64
2019-03-03,2.166,52
2019-03-04,1.895,35
2019-03-05,1.922,26
2019-03-06,1.92,28
2019-03-07,2.064,27
2019-03-08,2.049,26
2019-03-09,2.064,30
2019-03-10,2.132,28
2019-03-11,2.253,21
2019-03-12,2.137,43
2019-03-13,2.007,33
2019-03-14,2.192,32
